name,mean,stdev,category,coef_var
arts_centre,110,37,3,0.3363636364
bank,42,65,2,1.5476190476
bar,121,38,3,0.3140495868
cafe,76,39,2,0.5131578947
clinic,100,29,3,0.29
clothes_store,41,37,2,0.9024390244
community_centre,119,40,3,0.3361344538
dentist,104,35,3,0.3365384615
doctors,60,42,2,0.7
embassy,75,24,2,0.32
fast_food,31,15,2,0.4838709677
grocery,20,10,1,0.5
gym,100,22,3,0.22
hookah_lounge,130,17,3,0.1307692308
ice_cream,23,7,1,0.3043478261
karaoke,188,15,3,0.079787234
laundry,78,16,3,0.2051282051
library,83,13,2,0.156626506
music_school,120,30,3,0.25
nightclub,189,20,3,0.1058201058
pharmacy,25,20,1,0.8
post_office,16,2,1,0.125
pub,135,21,3,0.1555555556
restaurant,135,32,3,0.237037037
salon,141,53,3,0.3758865248
shelter,90,0,2,0
shop,43,21,2,0.488372093
spa,161,54,3,0.3354037267
stripclub,140,46,3,0.3285714286
studio,60,0,2,0
veterinary,67,29,2,0.4328358209
vintage_and_modern_resale,38,32,2,0.8421052632
,,,,0.3797943635
